"cropDefaultsID";"cropName";"plantDate";"growth10PcntDate";"growthMaxDate";"growthDeclineDate";"growthEndDate";"kc1";"kc2";"kc3";"mad";"rz_val1";"rz_val2";"postCuttingFlatDays";"postCuttingRecoveryDays";"status";"cropRegion"
77;"Peaches";110;112;145;220;278;0.39;1.12;0.5;50.0;36.0;36.0;-1;-1;1;720
78;"Pears_Plums";110;112;149;244;278;0.39;1.15;0.5;50.0;36.0;36.0;-1;-1;1;720
79;"Peas";90;97;163;174;198;0.3;0.93;0.5;40.0;6.0;30.0;-1;-1;1;720
80;"Peppermint";86;93;156;270;278;0.25;0.98;0.85;40.0;18.0;24.0;7;14;1;720
81;"Peppers";136;159;231;240;243;0.4;0.88;0.88;35.0;6.0;24.0;-1;-1;1;720
82;"Potatoes";127;140;181;220;253;0.4;0.99;0.56;35.0;12.0;24.0;-1;-1;1;720
83;"Radishes";95;96;110;123;125;0.53;0.72;0.67;40.0;6.0;12.0;-1;-1;1;720
84;"Raspberries";90;95;144;227;278;0.2;1.08;0.7;50.0;36.0;42.0;-1;-1;1;720
85;"Safflower";90;98;143;193;220;0.2;1.08;0.25;55.0;6.0;60.0;-1;-1;1;720
86;"Sorghum";130;150;185;230;260;0.25;0.9;0.85;55.0;6.0;48.0;-1;-1;1;720
87;"Soybeans";121;140;175;235;260;0.36;0.96;0.3;55.0;6.0;36.0;-1;-1;1;720
88;"Spearmint";110;124;165;212;243;0.25;0.93;0.8;40.0;18.0;24.0;7;14;1;720
89;"Spinach";88;120;168;206;215;0.55;0.8;0.75;25.0;6.0;18.0;-1;-1;1;720
90;"Squash";136;161;212;250;278;0.4;0.8;0.6;50.0;6.0;42.0;-1;-1;1;720
91;"Strawberries";80;93;164;207;278;0.33;0.7;0.55;30.0;12.0;18.0;-1;-1;1;720
92;"Sugarbeets";117;135;195;239;276;0.25;0.94;0.7;50.0;6.0;42.0;-1;-1;1;720
94;"Tomato";136;153;195;229;243;0.5;0.85;0.7;40.0;6.0;36.0;-1;-1;1;720
95;"Beans (dry)";146;156;191;211;242;0.25;0.95;0.3;50.0;4.8;30.0;-1;-1;1;720
96;"Beets (table)";117;135;195;239;276;0.4;0.88;0.79;35.0;2.4;30.0;-1;-1;1;720
97;"Blackberries";90;95;145;190;280;0.25;1.05;0.7;50.0;36.0;42.0;-1;-1;1;720
98;"Broccoli";91;110;150;218;243;0.5;0.87;0.8;35.0;2.4;24.0;-1;-1;1;720
99;"Brussel Sprouts";91;119;160;218;243;0.58;0.88;0.79;35.0;2.4;24.0;-1;-1;1;720
100;"Canteloup";136;153;195;229;243;0.42;0.71;0.5;50.0;6.0;36.0;-1;-1;1;720
101;"Cauliflower";91;119;160;218;243;0.58;0.87;0.79;35.0;2.4;24.0;-1;-1;1;720
102;"Celery";127;140;186;220;253;0.65;0.8;0.8;40.0;2.4;18.0;-1;-1;1;720
103;"Cheatgrass";60;62;83;104;130;0.25;0.8;0.25;65.0;6.0;30.0;-1;-1;1;720
104;"Cranberries";105;106;121;277;278;0.33;0.75;0.42;40.0;3.0;3.0;-1;-1;1;720
105;"Garlic";91;119;160;218;243;0.58;0.83;0.57;30.0;6.0;18.0;-1;-1;1;720
106;"Grass (Tall Pasture)";80;87;118;244;278;0.25;0.75;0.5;55.0;24.0;36.0;-1;-1;1;720
107;"Lettuce";95;96;110;123;125;0.58;0.83;0.79;25.0;2.4;18.0;-1;-1;1;720
108;"Pears";110;112;149;226;278;0.39;1.15;0.5;50.0;36.0;36.0;-1;-1;1;720
109;"Plums";110;112;149;239;278;0.2;1.05;0.5;50.0;42.0;42.0;-1;-1;1;720
110;"Pumpkin";136;161;212;250;278;0.42;0.83;0.67;45.0;6.0;36.0;-1;-1;1;720
111;"Sunflowers";105;130;165;210;234;0.25;0.92;0.29;65.0;6.0;54.0;-1;-1;1;720
112;"Tomatoes";136;153;195;229;243;0.5;0.95;0.7;40.0;6.0;36.0;-1;-1;1;720
113;"Tubers";80;93;164;207;278;0.42;0.92;0.79;40.0;6.0;42.0;-1;-1;1;720
114;"Watermelon";105;130;165;210;234;0.33;0.85;0.85;40.0;6.0;36.0;-1;-1;1;720
48350;"Almonds";110;112;145;220;278;0.39;1.12;0.5;50.0;36.0;36.0;-1;-1;1;720
30050;"Triticale";66;85;128;152;153;0.25;1.05;0.9;50.0;12.0;36.0;-1;-1;1;720
220;"Alfalfa";91;100;122;139;278;0.33;1.07;0.95;55.0;48.0;60.0;7;14;1;820
320;"Alfalfa";91;100;122;139;278;0.33;1.07;0.95;55.0;48.0;60.0;7;14;1;920
420;"Blueberries";85;90;111;195;225;0.25;1.03;0.9;50.0;36.0;48.0;-1;-1;1;0
520;"Apples";140;142;172;250;278;0.39;1.05;0.5;50.0;36.0;36.0;-1;-1;1;920
620;"Apricots";140;142;172;230;278;0.39;1.1;0.5;50.0;36.0;36.0;-1;-1;1;920
720;"Asparagus";150;158;226;263;278;0.36;1.0;0.87;55.0;36.0;48.0;-1;-1;1;920
820;"Beans (green)";176;182;229;261;278;0.25;0.95;0.8;40.0;4.8;24.0;-1;-1;1;920
920;"Beets (table)";147;162;211;248;278;0.4;0.88;0.79;35.0;2.4;30.0;-1;-1;1;920
1020;"Blackberries";120;124;166;204;280;0.25;1.05;0.7;50.0;36.0;42.0;-1;-1;1;920
1120;"Blueberries";115;119;135;201;225;0.25;1.03;0.9;50.0;36.0;48.0;-1;-1;1;920
1220;"Bluegrass Seed";102;110;155;184;220;0.25;0.95;0.25;50.0;12.0;30.0;-1;-1;1;920
1320;"Broccoli";121;140;182;252;278;0.5;0.87;0.8;35.0;2.4;24.0;-1;-1;1;920
1420;"Brussel Sprouts";121;150;192;252;278;0.58;0.88;0.79;35.0;2.4;24.0;-1;-1;1;920
1520;"Cabbage";121;122;176;196;243;0.25;1.0;0.25;40.0;6.0;24.0;-1;-1;1;920
1620;"Canola";106;113;152;194;213;0.35;0.9;0.35;55.0;6.0;48.0;-1;-1;1;920
1720;"Canteloup";166;184;228;263;278;0.42;0.71;0.5;50.0;6.0;36.0;-1;-1;1;920
1820;"Carrots";121;143;176;225;243;0.7;0.85;0.75;35.0;2.4;24.0;-1;-1;1;920
1920;"Cauliflower";121;149;190;248;273;0.58;0.87;0.79;35.0;2.4;24.0;-1;-1;1;920
2020;"Celery";157;169;214;246;278;0.65;0.8;0.8;40.0;2.4;18.0;-1;-1;1;920
2120;"Cherries";140;142;165;230;278;0.39;1.12;0.5;50.0;36.0;36.0;-1;-1;1;920
2220;"Clover";121;124;143;249;278;0.33;0.92;0.75;45.0;24.0;30.0;7;14;1;920
2320;"Corn (grain)";159;179;225;257;278;0.2;1.1;0.3;50.0;4.8;36.0;-1;-1;1;920
2420;"Corn (sweet)";160;184;238;267;278;0.25;1.0;0.86;40.0;4.8;30.0;-1;-1;1;920
2520;"Cranberries";105;106;121;277;278;0.33;0.75;0.42;40.0;2.4;2.4;-1;-1;1;920
2620;"Cucumbers";166;169;196;248;278;0.5;0.7;0.7;40.0;6.0;24.0;-1;-1;1;920
2720;"Garlic";121;150;192;252;278;0.58;0.83;0.57;30.0;6.0;18.0;-1;-1;1;920
2820;"Grain (Spring)";122;130;190;225;243;0.25;0.95;0.7;50.0;4.0;42.0;-1;-1;1;920
2920;"Grain (Winter)";96;100;110;123;126;0.25;0.95;0.9;55.0;12.0;42.0;-1;-1;1;920
3020;"Grapes (juice)";140;143;198;277;278;0.25;0.9;0.75;40.0;36.0;36.0;-1;-1;1;920
3120;"Grapes (wine)";140;161;222;277;278;0.15;0.7;0.7;65.0;42.0;60.0;-1;-1;1;920
3220;"Grass (Hay)";110;118;144;219;278;0.5;0.9;0.72;55.0;12.0;36.0;5;10;1;920
3320;"Grass (Pasture)";110;116;142;249;278;0.25;0.7;0.5;55.0;24.0;36.0;-1;-1;1;920
3420;"Grass (Tall Pasture)";110;116;142;249;278;0.25;0.8;0.5;55.0;24.0;36.0;-1;-1;1;920
3520;"Grass (Turf)";102;109;133;249;278;0.6;0.65;0.65;50.0;12.0;12.0;-1;-1;1;920
3620;"Lentils";135;142;171;191;215;0.25;0.88;0.3;50.0;6.0;30.0;-1;-1;1;920
3720;"Lettuce";125;127;155;181;185;0.58;0.83;0.79;25.0;2.4;18.0;-1;-1;1;920
3820;"Melons";166;169;196;248;278;0.25;0.8;0.6;40.0;6.0;30.0;-1;-1;1;920
3920;"Mustard";106;113;152;194;213;0.25;0.85;0.3;55.0;6.0;24.0;-1;-1;1;920
4020;"Onions (dry)";120;146;178;217;239;0.5;0.95;0.55;35.0;2.4;18.0;-1;-1;1;920
4120;"Onions (green)";104;129;159;169;174;0.5;1.0;1.0;35.0;6.0;18.0;-1;-1;1;920
4220;"Pears";140;142;172;235;278;0.39;1.15;0.5;50.0;36.0;36.0;-1;-1;1;920
4320;"Peas";120;127;193;204;228;0.3;1.0;0.5;40.0;6.0;30.0;-1;-1;1;920
4420;"Peppermint";116;122;175;271;278;0.25;0.98;0.85;40.0;18.0;24.0;7;14;1;920
4520;"Peppers";166;189;261;270;278;0.4;0.88;0.88;35.0;6.0;24.0;-1;-1;1;920
4620;"Potatoes";157;169;214;246;278;0.4;0.99;0.56;35.0;12.0;24.0;-1;-1;1;920
4720;"Pumpkin";166;186;226;256;278;0.42;0.83;0.67;45.0;6.0;36.0;-1;-1;1;920
4820;"Radishes";125;126;140;153;155;0.53;0.72;0.67;40.0;6.0;12.0;-1;-1;1;920
4920;"Raspberries";120;124;165;235;278;0.2;1.08;0.7;50.0;36.0;42.0;-1;-1;1;920
5020;"Safflower";120;128;173;223;250;0.2;1.08;0.25;55.0;6.0;60.0;-1;-1;1;920
5120;"Sorghum";160;178;210;251;278;0.25;0.9;0.85;55.0;6.0;48.0;-1;-1;1;920
5220;"Spearmint";140;155;197;246;278;0.25;0.93;0.8;40.0;18.0;24.0;7;14;1;920
5320;"Spinach";118;150;198;236;245;0.55;0.8;0.75;25.0;6.0;18.0;-1;-1;1;920
5420;"Squash";166;186;226;256;278;0.4;0.8;0.6;50.0;6.0;42.0;-1;-1;1;920
5520;"Strawberries";110;121;181;218;278;0.329;0.7;0.55;30.0;12.0;18.0;-1;-1;1;920
5620;"Sunflowers";135;160;195;240;264;0.25;0.92;0.29;65.0;6.0;54.0;-1;-1;1;920
5720;"Tomatoes";166;184;228;263;278;0.5;0.95;0.7;40.0;6.0;36.0;-1;-1;1;920
5820;"Tubers";110;121;181;218;278;0.42;0.92;0.79;40.0;6.0;42.0;-1;-1;1;920
5920;"Watermelon";135;163;202;251;278;0.33;0.85;0.85;40.0;6.0;36.0;-1;-1;1;920
6020;"Apples";100;112;149;240;290;0.39;1.05;0.5;50.0;36.0;36.0;-1;-1;1;820
6120;"Apricots";100;112;149;220;278;0.39;1.1;0.5;50.0;36.0;36.0;-1;-1;1;820
6220;"Asparagus";120;130;214;260;278;0.36;1.0;0.87;55.0;36.0;48.0;-1;-1;1;820
6320;"Beans (dry)";146;156;191;211;242;0.25;0.95;0.3;50.0;4.8;30.0;-1;-1;1;820
6420;"Beans (green)";146;150;180;200;211;0.25;0.95;0.8;40.0;4.8;24.0;-1;-1;1;820
6520;"Beets (table)";117;135;195;239;276;0.4;0.88;0.79;35.0;2.4;30.0;-1;-1;1;820
6620;"Blackberries";90;95;145;190;280;0.25;1.05;0.7;50.0;36.0;42.0;-1;-1;1;820
6720;"Blueberries";85;90;111;195;225;0.25;1.03;0.9;50.0;36.0;48.0;-1;-1;1;820
6820;"Bluegrass Seed";72;80;126;155;192;0.25;0.95;0.25;50.0;12.0;30.0;-1;-1;1;820
6920;"Broccoli";91;110;150;218;243;0.5;0.87;0.8;35.0;2.4;24.0;-1;-1;1;820
7020;"Brussel Sprouts";91;119;160;218;243;0.58;0.88;0.79;35.0;2.4;24.0;-1;-1;1;820
7120;"Cabbage";91;92;160;185;243;0.25;1.0;0.25;40.0;6.0;24.0;-1;-1;1;820
7220;"Canola";76;83;122;164;183;0.35;0.9;0.35;55.0;6.0;48.0;-1;-1;1;820
7320;"Canteloup";136;153;195;229;243;0.42;0.71;0.5;50.0;6.0;36.0;-1;-1;1;820
7420;"Carrots";91;119;160;220;243;0.7;0.85;0.75;35.0;2.4;24.0;-1;-1;1;820
7520;"Cauliflower";91;119;160;218;243;0.58;0.87;0.79;35.0;2.4;24.0;-1;-1;1;820
7620;"Celery";127;140;186;220;253;0.65;0.8;0.8;40.0;2.4;18.0;-1;-1;1;820
7720;"Cheatgrass";60;62;83;104;130;0.25;0.8;0.25;65.0;6.0;30.0;-1;-1;1;820
7820;"Cherries";110;112;141;220;278;0.39;1.12;0.5;50.0;36.0;36.0;-1;-1;1;820
7920;"Clover";91;95;117;244;278;0.33;0.92;0.75;45.0;24.0;30.0;7;14;1;820
8020;"Corn (grain)";135;160;201;236;259;0.2;1.1;0.3;50.0;5.0;36.0;-1;-1;1;820
8120;"Corn (sweet)";130;152;203;230;240;0.25;1.0;0.86;40.0;4.8;30.0;-1;-1;1;820
8220;"Cucumbers";136;140;174;240;278;0.5;0.7;0.7;40.0;6.0;24.0;-1;-1;1;820
8320;"Garlic";91;119;160;218;243;0.58;0.83;0.57;30.0;6.0;18.0;-1;-1;1;820
8420;"Grain (Spring)";92;100;160;195;213;0.25;0.95;0.7;50.0;4.0;42.0;-1;-1;1;820
8520;"Grain (Winter)";66;85;128;184;196;0.25;0.95;0.9;55.0;12.0;42.0;-1;-1;1;820
8620;"Grapes (juice)";110;114;180;277;278;0.25;0.9;0.75;40.0;36.0;36.0;-1;-1;1;820
8720;"Grapes (wine)";110;135;210;277;278;0.15;0.7;0.7;65.0;42.0;60.0;-1;-1;1;820
8820;"Grass (Hay)";80;90;120;209;278;0.5;0.9;0.72;55.0;12.0;36.0;5;10;1;820
8920;"Grass (Pasture)";80;87;118;244;278;0.25;0.65;0.5;55.0;24.0;36.0;-1;-1;1;820
9020;"Grass (Tall Pasture)";80;87;118;244;278;0.25;0.75;0.5;55.0;24.0;36.0;-1;-1;1;820
9120;"Grass (Lawn/Turf)";72;80;108;244;278;0.8;0.8;0.8;50.0;12.0;18.0;-1;-1;1;820
9220;"Hops";110;158;230;250;274;0.25;1.05;0.2;50.0;36.0;48.0;-1;-1;1;820
9320;"Lentils";105;115;155;182;215;0.25;0.88;0.3;50.0;6.0;30.0;-1;-1;1;820
9420;"Lettuce";95;96;110;123;125;0.58;0.83;0.79;25.0;2.4;18.0;-1;-1;1;820
9520;"Melons";136;140;174;240;278;0.25;0.8;0.6;40.0;6.0;30.0;-1;-1;1;820
9620;"Mustard";76;83;122;164;183;0.25;0.85;0.3;55.0;6.0;24.0;-1;-1;1;820
9720;"Onions (dry)";90;122;162;212;239;0.5;1.07;0.5;35.0;2.4;18.0;-1;-1;1;820
9820;"Onions (green)";74;99;129;139;144;0.5;1.0;1.0;35.0;6.0;18.0;-1;-1;1;820
9920;"Peaches";110;112;145;220;278;0.39;1.12;0.5;50.0;36.0;36.0;-1;-1;1;820
10020;"Pears";110;112;149;244;278;0.39;1.15;0.5;50.0;36.0;36.0;-1;-1;1;820
10120;"Peas";90;97;163;174;198;0.3;0.93;0.5;40.0;6.0;30.0;-1;-1;1;820
10220;"Peppermint";86;93;156;270;278;0.25;0.98;0.85;40.0;18.0;24.0;7;14;1;820
10320;"Peppers";136;159;231;240;243;0.4;0.88;0.88;35.0;6.0;24.0;-1;-1;1;820
10420;"Plums";110;112;149;239;278;0.2;1.05;0.5;50.0;42.0;42.0;-1;-1;1;820
10520;"Potatoes";127;140;181;220;253;0.4;0.99;0.56;35.0;12.0;24.0;-1;-1;1;820
10620;"Pumpkin";136;161;212;250;278;0.42;0.83;0.67;45.0;6.0;36.0;-1;-1;1;820
10720;"Radishes";95;96;110;123;125;0.53;0.72;0.67;40.0;6.0;12.0;-1;-1;1;820
10820;"Raspberries";90;95;144;227;278;0.2;1.08;0.7;50.0;36.0;42.0;-1;-1;1;820
10920;"Safflower";90;98;143;193;220;0.2;1.08;0.25;55.0;6.0;60.0;-1;-1;1;820
11020;"Sorghum";130;150;185;230;260;0.25;0.9;0.85;55.0;6.0;48.0;-1;-1;1;820
11120;"Soybeans";121;140;175;235;260;0.36;0.96;0.3;55.0;6.0;36.0;-1;-1;1;820
11220;"Spearmint";110;124;165;212;243;0.25;0.93;0.8;40.0;18.0;24.0;7;14;1;820
11320;"Spinach";88;120;168;206;215;0.55;0.8;0.75;25.0;6.0;18.0;-1;-1;1;820
11420;"Squash";136;161;212;250;278;0.4;0.8;0.6;50.0;6.0;42.0;-1;-1;1;820
11520;"Strawberries";80;93;164;207;278;0.33;0.7;0.55;30.0;12.0;18.0;-1;-1;1;820
11620;"Sugarbeets";117;135;195;239;276;0.25;0.94;0.7;50.0;6.0;42.0;-1;-1;1;820
11720;"Sunflowers";105;130;165;210;234;0.25;0.92;0.29;65.0;6.0;54.0;-1;-1;1;820
11820;"Tomatoes";136;153;195;229;243;0.5;0.95;0.7;40.0;6.0;36.0;-1;-1;1;820
11920;"Watermelon";105;130;165;210;234;0.33;0.85;0.85;40.0;6.0;36.0;-1;-1;1;820
12020;"Artichokes";182;178;170;127;121;0.65;0.65;0.65;45.0;30.0;30.0;-1;-1;1;620
12120;"Asparagus";1;45;92;347;365;0.25;1.0;0.25;55.0;42.0;60.0;-1;-1;1;620
12220;"Barley";305;274;236;190;151;0.7;1.1;0.15;50.0;3.6;42.0;-1;-1;1;620
12320;"Beans (pinto)";166;192;209;263;273;0.2;0.9;0.1;50.0;4.8;30.0;-1;-1;1;620
12420;"Beans (dry)";166;192;209;263;273;0.2;1.0;0.1;50.0;4.8;30.0;-1;-1;1;620
12520;"Beans (green)";60;80;111;141;151;0.8;1.0;0.85;40.0;4.8;30.0;-1;-1;1;620
12620;"Beets (table)";91;111;139;163;171;0.3;0.9;0.9;35.0;2.4;30.0;-1;-1;1;620
12720;"Broccoli";74;96;128;164;182;0.3;1.0;0.8;35.0;2.4;24.0;-1;-1;1;620
12820;"Cabbage";213;240;280;306;319;0.3;1.0;0.85;40.0;6.0;24.0;-1;-1;1;620
12920;"Carrots";15;39;75;115;135;0.85;0.95;0.8;35.0;2.4;24.0;-1;-1;1;620
13020;"Celery";258;222;161;39;15;0.8;0.95;0.95;40.0;2.4;18.0;-1;-1;1;620
13120;"Corn (grain)";121;151;189;235;273;0.2;1.05;1.05;50.0;5.0;36.0;-1;-1;1;620
13220;"Corn (silage)";121;142;169;227;227;0.2;1.0;1.0;50.0;5.0;42.0;-1;-1;1;620
13320;"Cotton";135;158;173;265;288;0.35;0.95;0.5;65.0;6.0;42.0;-1;-1;1;620
13420;"Cucumbers";74;91;117;152;166;0.8;0.85;0.85;40.0;6.0;24.0;-1;-1;1;620
13520;"Eggplant";91;143;214;285;319;0.8;0.9;0.85;45.0;6.0;36.0;-1;-1;1;620
13620;"Flax";91;112;145;188;212;0.2;1.1;0.25;50.0;6.0;42.0;-1;-1;1;620
13720;"Grain (Spring)";305;274;236;190;151;0.33;1.1;0.15;50.0;4.0;42.0;-1;-1;1;620
13820;"Grain (winter)";305;274;236;190;151;0.33;1.05;0.15;55.0;12.0;42.0;-1;-1;1;620
13920;"Lentils";166;192;209;263;273;0.2;1.0;0.1;50.0;6.0;30.0;-1;-1;1;620
14020;"Lettuce";74;105;153;184;196;0.8;0.8;0.8;25.0;2.4;18.0;-1;-1;1;620
14120;"Melons";91;139;205;280;319;0.8;0.95;0.75;40.0;6.0;30.0;-1;-1;1;620
14220;"Millet";305;283;250;190;151;0.3;1.0;0.3;55.0;6.0;42.0;-1;-1;1;620
14320;"Mustard";213;240;280;306;319;0.3;1.0;0.85;55.0;6.0;24.0;-1;-1;1;620
14420;"Oats";305;274;236;190;151;0.33;1.1;0.15;50.0;3.6;42.0;-1;-1;1;620
14520;"Onions (dry)";60;81;116;221;274;0.55;1.2;0.55;35.0;2.4;18.0;-1;-1;1;620
14620;"Onions (green)";60;98;167;198;213;0.55;1.2;0.55;35.0;6.0;18.0;-1;-1;1;620
14720;"Peas";60;78;103;136;151;0.2;1.0;1.0;40.0;6.0;30.0;-1;-1;1;620
14820;"Peppers";60;97;142;216;243;0.8;1.0;0.85;35.0;6.0;24.0;-1;-1;1;620
14920;"Potatoes";105;129;160;200;227;0.8;1.1;0.7;35.0;12.0;24.0;-1;-1;1;620
15020;"Radishes";91;97;105;117;121;0.8;0.85;0.75;40.0;6.0;12.0;-1;-1;1;620
15120;"Rice";135;168;186;254;273;1.2;1.03;0.8;20.0;6.0;24.0;-1;-1;1;620
15220;"Safflower";91;112;145;188;212;0.2;1.05;0.25;55.0;6.0;60.0;-1;-1;1;620
15320;"Sisal";91;112;145;188;212;0.2;1.05;0.25;75.0;6.0;30.0;-1;-1;1;620
15420;"Sorghum";91;127;187;262;319;0.2;1.05;0.5;55.0;6.0;48.0;-1;-1;1;620
15520;"Spinach";319;224;126;54;31;0.8;0.95;0.9;25.0;6.0;18.0;-1;-1;1;620
15620;"Squash";15;33;60;87;105;0.52;0.9;0.7;50.0;6.0;42.0;-1;-1;1;620
15720;"Strawberries w/mulch";121;144;189;243;273;0.2;0.7;0.7;30.0;12.0;18.0;-1;-1;1;620
15820;"Sugarbeets";74;104;164;233;273;0.2;1.15;0.95;50.0;6.0;42.0;-1;-1;1;620
15920;"Sunflowers";121;147;180;227;253;0.2;1.1;0.4;65.0;6.0;54.0;-1;-1;1;620
16020;"Sweet Potatoes";105;129;160;200;227;0.8;1.1;0.7;65.0;8.0;36.0;-1;-1;1;620
16120;"Tomatoes";91;129;167;213;243;0.3;1.1;0.65;40.0;6.0;36.0;-1;-1;1;620
16220;"Vegetables";60;120;183;228;243;0.8;0.9;0.9;35.0;6.0;18.0;-1;-1;1;620
16320;"Wheat";305;274;236;190;151;0.33;1.1;0.15;40.0;3.6;42.0;-1;-1;1;620
16420;"Watermelon";91;137;205;262;319;0.8;1.0;0.75;50.0;6.0;36.0;-1;-1;1;620
16520;"Alfalfa";1;92;183;274;365;0.4;1.15;1.05;55.0;48.0;60.0;7;14;1;620
16620;"Improved Pasture";1;92;183;274;365;0.95;0.95;0.95;55.0;24.0;36.0;-1;-1;1;620
16720;"Grass (Turf)";1;92;183;274;365;0.75;0.8;0.8;50.0;12.0;12.0;-1;-1;1;620
16820;"Turfgrass (warm-season)";1;92;183;274;365;0.6;0.6;0.6;50.0;18.0;18.0;-1;-1;1;620
16920;"Almonds";60;60;174;265;288;0.55;1.05;0.65;40.0;48.0;48.0;-1;-1;1;620
17020;"Apples";91;91;205;262;319;0.55;1.05;0.8;50.0;36.0;36.0;-1;-1;1;620
17120;"Grapevines";91;91;145;252;305;0.45;0.8;0.35;65.0;36.0;60.0;-1;-1;1;620
17220;"Kiwifruit";121;121;161;244;304;0.3;1.05;1.0;35.0;36.0;36.0;-1;-1;1;620
17320;"Stone fruits";60;60;174;265;288;0.55;1.05;0.65;50.0;42.0;42.0;-1;-1;1;620
17420;"Walnuts";91;91;205;262;319;0.55;1.05;0.8;50.0;60.0;60.0;-1;-1;1;620
17520;"Avocado";1;1;121;245;365;0.7;0.7;0.7;70.0;30.0;30.0;-1;-1;1;620
17620;"Citrus ";1;1;121;245;365;1.0;1.0;1.0;50.0;54.0;54.0;-1;-1;1;620
17720;"Citrus (desert)";1;1;121;245;365;0.9;0.9;0.9;50.0;54.0;54.0;-1;-1;1;620
17820;"Date Palm";1;1;121;245;365;0.95;0.95;0.95;50.0;60.0;60.0;-1;-1;1;620
17920;"Evergreen";1;1;121;245;365;1.15;1.15;1.15;70.0;42.0;42.0;-1;-1;1;620
18020;"Olives";1;1;121;245;365;0.8;0.8;0.8;65.0;42.0;42.0;-1;-1;1;620
18120;"Alfalfa";121;130;152;176;276;0.33;1.0;0.95;50.0;48.0;60.0;7;14;1;1020
18220;"Alfalfa Seed";121;130;152;176;276;0.33;1.0;0.95;40.0;3.6;42.0;-1;-1;1;1020
18320;"Barley";135;145;168;184;232;0.3;0.88;0.6;40.0;3.6;42.0;-1;-1;1;1020
18420;"Beans (dry)";140;150;185;205;236;0.25;0.9;0.3;40.0;4.8;30.0;-1;-1;1;1020
18520;"Canola";135;157;170;218;242;0.35;0.95;0.3;40.0;6.0;48.0;-1;-1;1;1020
18620;"Corn (grain)";125;157;185;217;273;0.2;1.1;0.35;50.0;4.8;36.0;-1;-1;1;1020
18720;"Corn (sweet)";125;157;208;235;245;0.25;1.0;0.86;40.0;4.8;30.0;-1;-1;1;1020
18820;"Dill";121;142;170;184;197;0.25;0.9;0.7;50.0;4.8;36.0;-1;-1;1;1020
